refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR3129874	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 39 Normal	
SRR3129875	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 40 Normal	
SRR3129876	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 41 Normal	
SRR3129877	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 44 Normal	
SRR3129878	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 42 Normal	
SRR3129879	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 43 Normal	
SRR3129880	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 45 Normal	
SRR3129881	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 46 Normal	
SRR3129882	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 47 Normal	
SRR3129883	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 48 Normal	
SRR3129885	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 50 Normal	
SRR3129886	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 1 Tumor	
SRR3129887	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 2 Tumor	
SRR3129888	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 3 Tumor	
SRR3129889	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 4 Tumor	
SRR3129890	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 5 Tumor	
SRR3129891	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 6 Tumor	
SRR3129892	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 7 Tumor	
SRR3129893	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 8 Tumor	
SRR3129894	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 9 Tumor	
SRR3129895	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 10 Tumor	
SRR3129896	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 21 Tumor	
SRR3129897	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 11 Tumor	
SRR3129898	SRP068976								HOMO_SAPIENS	Illumina Genome Analyzer (IlluminaGenomeAnalyzer)	True	204	Tximport	v1.13.8-hotfix				SRA				Patient 12 Tumor	
