ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000084234,9863.809065092777,0.01668067492850393,0.10793881194342383,0.15453824836655708,0.877185355595488,0.9005133200265614,APLP2
ENSG00000161939,21.699347950080437,-0.04913601501384438,0.3183827464757009,-0.15433001806080737,0.8773495298516307,0.900642335958364,RNASEK-C17orf49
ENSG00000122126,1134.6503621767238,-0.018624757823180613,0.12083244888596972,-0.15413705502862815,0.8775016716973769,0.9007589892499337,OCRL
ENSG00000181001,5.5716757897151465,-0.04195029427609954,0.27243507669564865,-0.1539827205252442,0.8776233601082666,0.9008443731027942,OR52N1
ENSG00000162576,677.1473341563725,0.03817505269028051,0.24802151585815355,0.1539183105070339,0.8776741464497428,0.9008569745907961,MXRA8
ENSG00000085514,124.58513988601186,0.026218737695736852,0.17046892646797152,0.1538036182838457,0.8777645808084291,0.9008758194358176,PILRA
ENSG00000279278,214.64204091174048,0.020449240162799455,0.13296224432520004,0.15379734500257497,0.8777695273116142,0.9008758194358176,
ENSG00000106723,946.208939269049,-0.016381123561949307,0.10658439636706978,-0.15369157325368504,0.8778529294065002,0.9009218907434526,SPIN1
ENSG00000156968,653.5043672442756,0.022826544092655644,0.14864425595743228,0.15356492550369757,0.877952794223146,0.9009848526107502,MPV17L
ENSG00000274565,12.614197257306646,0.0518075102998321,0.33859745342047765,0.1530062018378396,0.8783933845224005,0.9013974576299576,LOC107985020
ENSG00000129128,1367.1069478143193,0.021959745975987405,0.1439773600693651,0.1525222157525856,0.8787750697826355,0.9017495814109396,SPCS3
ENSG00000279265,21.798428050039476,0.01954542326048921,0.12847484423648778,0.15213424368517872,0.8790810559946793,0.9020239996001199,
ENSG00000127993,267.9633873162602,0.014056651891830559,0.0925251072135322,0.15192256799433046,0.8792480082158461,0.9021557373653796,RBM48
ENSG00000266302,107.69122746591583,-0.043833140696754425,0.2888994458312743,-0.1517245579015553,0.8794041870075485,0.9022764099415607,
ENSG00000172771,205.07213369039238,-0.03668962873342743,0.24321241824606757,-0.1508542573525464,0.8800906847829507,0.9029015607897362,EFCAB12
ENSG00000259668,24.54215028990798,-0.0315496495919132,0.20911363176290867,-0.15087323253839297,0.8800757160907976,0.9029015607897362,
ENSG00000162706,28.08071756578032,-0.060521132705322646,0.40147511504912414,-0.15074690917746503,0.8801753678583416,0.9029273409362372,CADM3
ENSG00000166974,847.075146762,-0.025828433980349168,0.17141747577028402,-0.15067561731548165,0.8802316081755606,0.9029273409362372,MAPRE2
ENSG00000226017,6.552251681856628,-0.024008887852698505,0.15931269102628315,-0.15070292076566305,0.8802100691142066,0.9029273409362372,PRICKLE2-AS3
ENSG00000140853,942.1772766970685,0.028147181260695712,0.18727780244210165,0.15029640936435926,0.8805307657261626,0.9031946067978656,NLRC5
ENSG00000072849,804.8258966840142,0.015381147342245875,0.10248571456698177,0.1500808908561904,0.8807007961051112,0.9033294042744273,DERL2
ENSG00000266903,69.87392808712143,0.02835940947531012,0.18919131410193865,0.14989805219086175,0.8808450484814461,0.9034377507508974,CEACAM16-AS1
ENSG00000141258,1882.8659023124567,0.025281378398437606,0.16892339812069154,0.1496617915558074,0.8810314545044622,0.903589320672668,SGSM2
