term_id,term_name,padj,term_size,overlap
GO:0097267,omega-hydroxylase P450 pathway,0.025503298621100196,11,6
GO:1901700,response to oxygen-containing compound,0.025812379715231835,1632,132
GO:1901976,regulation of cell cycle checkpoint,0.028203100186848042,49,12
GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,0.03135337767618802,102,18
GO:0042759,long-chain fatty acid biosynthetic process,0.03205945610260611,28,9
GO:0140694,membraneless organelle assembly,0.033114409484334896,436,47
GO:0051438,regulation of ubiquitin-protein transferase activity,0.03453884802007178,35,10
GO:0010389,regulation of G2/M transition of mitotic cell cycle,0.041309711184964015,104,18
GO:0030279,negative regulation of ossification,0.04148705669039101,43,11
GO:0051094,positive regulation of developmental process,0.041582767893021365,1305,109
GO:0050890,cognition,0.04166796107354601,315,37
GO:0007423,sensory organ development,0.04340727001876705,625,61
GO:0007611,learning or memory,0.044525587413948256,268,33
GO:0048646,anatomical structure formation involved in morphogenesis,0.04492992247689348,1190,101
GO:0001525,angiogenesis,0.04606540325352872,546,55
GO:0006570,tyrosine metabolic process,0.04653931999891907,17,7
